What was the best part of my day?,Eating a nice and delicious dinner that I bought from a nearby restaurant. ,10/1/2024 9:19:19 AM
How did I see the hand of the Lord in my life today?,Attending the institute class earlier.,10/1/2024 9:20:24 AM
What was the best part of my day?,Playing a mobile game and winning that game.,10/1/2024 9:21:35 AM
What was the best part of my day?,Eating a nice and delicious dinner that I bought from a nearby restaurant. ,10/1/2024 9:19:19 AM
How did I see the hand of the Lord in my life today?,Attending the institute class earlier.,10/1/2024 9:20:24 AM
What was the best part of my day?,Playing a mobile game and winning that game.,10/1/2024 9:21:35 AM
How did I see the hand of the Lord in my life today?,The friends and family that surround me.,10/1/2024 9:22:21 AM
What was the best part of my day?,Eating a nice and delicious dinner that I bought from a nearby restaurant. ,10/1/2024 9:19:19 AM
How did I see the hand of the Lord in my life today?,Attending the institute class earlier.,10/1/2024 9:20:24 AM
What was the best part of my day?,Playing a mobile game and winning that game.,10/1/2024 9:21:35 AM
How did I see the hand of the Lord in my life today?,The friends and family that surround me.,10/1/2024 9:22:21 AM
Who was the most interesting person I interacted with today?,1,10/1/2024 9:25:54 AM
What was the best part of my day?,Learning the lessons for my course in BYU-I.,10/1/2024 9:29:42 AM
If I had one thing I could do over today, what would it be?,Read one general conference talk before I go to sleep.,10/1/2024 9:28:47 AM
How did I see the hand of the Lord in my life today?,eggr,10/1/2024 9:18:03 AM
What was the best part of my day?,waefgwe,10/1/2024 9:18:20 AM
What was the best part of my day?,Eating a nice and delicious dinner that I bought from a nearby restaurant. ,10/1/2024 9:19:19 AM
How did I see the hand of the Lord in my life today?,Attending the institute class earlier.,10/1/2024 9:20:24 AM
What was the best part of my day?,Playing a mobile game and winning that game.,10/1/2024 9:21:35 AM
How did I see the hand of the Lord in my life today?,The friends and family that surround me.,10/1/2024 9:22:21 AM
Who was the most interesting person I interacted with today?,1,10/1/2024 9:25:54 AM
If I had one thing I could do over today, what would it be?,Read one general conference talk before I go to sleep.,10/1/2024 9:28:47 AM
What was the best part of my day?,Learning the lessons for my course in BYU-I.,10/1/2024 9:29:42 AM
How did I see the hand of the Lord in my life today?,In every breathe I take.,10/1/2024 9:30:57 AM
Who was the most interesting person I interacted with today?,My younger sister named Kaye.,10/1/2024 9:33:39 AM
How did I see the hand of the Lord in my life today?,gospel,10/1/2024 9:34:24 AM
How did I see the hand of the Lord in my life today?,gospel,10/1/2024 9:34:24 AM
If I had one thing I could do over today, what would it be?,Play one more ML game.,10/1/2024 9:44:33 AM
How did I see the hand of the Lord in my life today?,gospel,10/1/2024 9:34:24 AM
If I had one thing I could do over today, what would it be?,Play one more ML game.,10/1/2024 9:44:33 AM
What was the best part of my day?,Eating a nice and delicious dinner that I bought from a nearby restaurant. ,10/1/2024 9:19:19 AM
How did I see the hand of the Lord in my life today?,Attending the institute class earlier.,10/1/2024 9:20:24 AM
What was the best part of my day?,Playing a mobile game and winning that game.,10/1/2024 9:21:35 AM
What was the best part of my day?,Eating a nice and delicious dinner that I bought from a nearby restaurant. ,10/1/2024 9:19:19 AM
How did I see the hand of the Lord in my life today?,Attending the institute class earlier.,10/1/2024 9:20:24 AM
What was the best part of my day?,Playing a mobile game and winning that game.,10/1/2024 9:21:35 AM
How did I see the hand of the Lord in my life today?,The friends and family that surround me.,10/1/2024 9:22:21 AM
What was the best part of my day?,Eating a nice and delicious dinner that I bought from a nearby restaurant. ,10/1/2024 9:19:19 AM
How did I see the hand of the Lord in my life today?,Attending the institute class earlier.,10/1/2024 9:20:24 AM
What was the best part of my day?,Playing a mobile game and winning that game.,10/1/2024 9:21:35 AM
How did I see the hand of the Lord in my life today?,The friends and family that surround me.,10/1/2024 9:22:21 AM
Who was the most interesting person I interacted with today?,1,10/1/2024 9:25:54 AM
If I had one thing I could do over today, what would it be?,Read one general conference talk before I go to sleep.
What was the best part of my day?,Learning the lessons for my course in BYU-I.,10/1/2024 9:29:42 AM
How did I see the hand of the Lord in my life today?,eggr,10/1/2024 9:18:03 AM
What was the best part of my day?,waefgwe,10/1/2024 9:18:20 AM
What was the best part of my day?,Eating a nice and delicious dinner that I bought from a nearby restaurant. ,10/1/2024 9:19:19 AM
How did I see the hand of the Lord in my life today?,Attending the institute class earlier.,10/1/2024 9:20:24 AM
What was the best part of my day?,Playing a mobile game and winning that game.,10/1/2024 9:21:35 AM
How did I see the hand of the Lord in my life today?,The friends and family that surround me.,10/1/2024 9:22:21 AM
Who was the most interesting person I interacted with today?,1,10/1/2024 9:25:54 AM
If I had one thing I could do over today, what would it be?,Read one general conference talk before I go to sleep.
What was the best part of my day?,Learning the lessons for my course in BYU-I.,10/1/2024 9:29:42 AM
